dtc_list,timestamp
"{'code': 95, 'date': '2006-07-21', 'index': 0}",2023-06-06 07:49:15.257
"{'code': 96, 'date': '2006-07-21', 'index': 1}",2023-06-06 07:49:15.257
"{'code': 92, 'date': '2006-07-21', 'index': 2}",2023-06-06 07:49:15.257
"{'code': 16, 'date': '2006-07-20', 'index': 3}",2023-06-06 07:49:15.257
"{'code': 93, 'date': '2006-07-21', 'index': 4}",2023-06-06 07:49:15.257
"{'code': 107, 'date': '2006-07-21', 'index': 5}",2023-06-06 07:49:15.257
"{'code': 7, 'date': '2006-07-05', 'index': 6}",2023-06-06 07:49:15.257
"{'code': 4, 'date': '2006-07-05', 'index': 7}",2023-06-06 07:49:15.257
"{'code': 78, 'date': '2006-07-20', 'index': 8}",2023-06-06 07:49:15.257
"{'code': 18, 'date': '2005-08-15', 'index': 9}",2023-06-06 07:49:15.257
"{'code': 26, 'date': '2005-09-25', 'index': 10}",2023-06-06 07:49:15.257
"{'code': 70, 'date': '2005-09-03', 'index': 11}",2023-06-06 07:49:15.257
"{'code': 30, 'date': '2006-01-12', 'index': 12}",2023-06-06 07:49:15.257
"{'code': 0, 'date': '2000-01-01', 'index': 13}",2023-06-06 07:49:15.257
"{'code': 0, 'date': '2000-01-01', 'index': 14}",2023-06-06 07:49:15.257
"{'code': 0, 'date': '2000-01-01', 'index': 15}",2023-06-06 07:49:15.257
"{'code': 0, 'date': '2000-01-01', 'index': 16}",2023-06-06 07:49:15.257
"{'code': 0, 'date': '2000-01-01', 'index': 17}",2023-06-06 07:49:15.257
"{'code': 0, 'date': '2000-01-01', 'index': 18}",2023-06-06 07:49:15.257
"{'code': 0, 'date': '2000-01-01', 'index': 19}",2023-06-06 07:49:15.257
